label,image,item-count
flit12,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/de511b71-7ccd-434a-a45c-2b240d58ea5e.jpg?alt=media&token=676cda86-bf25-4656-af45-1a96eae87380,1
hoax00,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/ad87baae-b42d-4854-880d-830f1ccda79a.jpg?alt=media&token=607ababb-eae5-4cfa-8663-0f31730ea6a3,0
hoax01,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/3d14a0f6-fc05-47d9-acd8-e932bc996472.jpg?alt=media&token=0ef98f48-57bd-4f26-84ec-544340841571,1
hoax02,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/8912bdff-4085-4f23-a049-fd23ed653ad1.jpg?alt=media&token=ebd26ebe-1e61-4dc4-80fe-aa047e109404,1
hoax03,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/32de2102-56bd-4146-b6d1-146cbcc2cda0.jpg?alt=media&token=cbebbc32-07b3-46b7-839e-004a3d94a368,1
hoax04,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/ae71ad7f-eec2-4643-a161-5fef25f5b598.jpg?alt=media&token=dec87127-dd72-491a-ab9e-e8ab942c5d44,1
hoax05,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/fd859772-a7f0-459c-a932-e4d9075408dd.jpg?alt=media&token=2ad569c8-ed6b-47fe-b1bc-6bf45989ac9f,1
hoax06,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/646a9d1c-0ffc-41bc-9a23-4b7d81a0bd01.jpg?alt=media&token=8a7e1bd1-456d-44ee-9880-343f2cf46bfb,1
hoax07,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/5ca8f7b3-0a28-4f47-8977-61cbc3c5cac2.jpg?alt=media&token=93f0ffee-d8e6-4eba-ab02-52821fa01952,1
hoax08,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/57426a4b-7a65-4e8f-9133-b89c5e79aefd.jpg?alt=media&token=e0272a19-f382-4ed4-a7fb-1aac961ea750,1
