label,image,item-count
aqua10,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/fbf19228-80ee-4700-b977-42e366d576d0.jpg?alt=media&token=3f64a2d0-24e8-4661-94c6-a4b4aaae20fd,1
hoax15,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/7537b700-d1d7-4af4-9254-c7ad10264eaa.jpg?alt=media&token=5a96f989-fe86-4328-b555-1c8ce259d703,1
khind00,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/a9d7d4db-b7f8-4449-aa5d-6c99ded2228c.jpg?alt=media&token=dba52da4-d75e-4b5c-bd27-f3ffa8526a45,0
khind01,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/224a299f-1173-4976-805a-86a38a9e5099.jpg?alt=media&token=6aa19669-793c-4b63-97b0-fd40cfdfcb47,1
khind02,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/0889473c-ac70-4718-85ec-70b3808287d1.jpg?alt=media&token=f62f4eb2-073e-49e7-8fcc-d3af76fc8c66,1
khind03,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/4f9657a6-a43a-4189-a5ea-fbe98f40efb4.jpg?alt=media&token=1825497d-d787-4124-bf01-81d3f04edb4a,1
khind04,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/b5631d57-e22b-401f-9f53-c5b9c5f1f657.jpg?alt=media&token=7b22422f-5065-4051-b6df-7aea6ed615cf,1
khind05,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/5fbb1f6b-7cad-4369-b482-2045f091d822.jpg?alt=media&token=ff762073-9512-4c38-92b3-f93f8acd1ee6,1
khind06,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/42354aec-13f8-425d-b154-d0fd252fcd27.jpg?alt=media&token=f7beb4a0-d27d-4b54-a8c5-3eb0d1d94c99,1
khind07,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/384bcb42-1a8f-437c-b287-a3e62d9475fe.jpg?alt=media&token=1f8da67a-621d-4274-a17f-f9ecb01613f2,1
khind08,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/fbb517b3-ad7f-4148-b543-b15c57b76eee.jpg?alt=media&token=ec80154a-b3b8-42e5-80b9-b1757a50a18c,1
khind09,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/28a376a5-ded9-480d-8073-e4485ccf43f1.jpg?alt=media&token=33ce5db8-ec39-4649-b2e4-16bec3db3332,1
khind10,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/f25fbdf2-0652-40b2-b4aa-0bc47744e57a.jpg?alt=media&token=a008b137-b8ef-42c5-a8c6-02fbc66f94db,1
khind11,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/c253b133-e0f2-4097-8712-1d59f18858cc.jpg?alt=media&token=33bd7fd4-0efe-4bff-b734-221cde60888b,1
khind12,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/c21e1d1a-362f-4104-a5af-2d83fbbbc2cd.jpg?alt=media&token=7aa856cd-0a2f-44b8-9e21-54ef490e6453,1
khind13,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/411c3111-53ec-4a11-9db3-d51705169ae6.jpg?alt=media&token=fe4f0c91-0592-4821-a00d-a5c20f817b33,1
khind14,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/ee26aea5-0840-4742-aaa9-41c60e1015e9.jpg?alt=media&token=eeab8eee-86df-4ce2-a1e9-c8cf6d222eef,1
