label,image,item-count
flit13,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/89514d69-9a9c-4782-8d4f-1d6dc48aa7fd.jpg?alt=media&token=47547920-ae5c-44d6-a54e-2486fce8ae4e,1
mutant107,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/b25c1bab-3d93-410d-9387-ec5a32f8ae68.jpg?alt=media&token=9a4a13db-2cc5-4e1d-8dbd-65fc84082ffb,1
pillar17,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/398d0ca9-281f-4416-8f4f-62b890091a50.jpg?alt=media&token=87f83d0a-b56b-469e-87c1-f0e54ff968dc,1
terrah00,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/837c6d8f-3c32-4622-9df9-664a208907b8.jpg?alt=media&token=92d4571c-1f21-42cb-95ba-547ae119d309,0
terrah01,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/a575ee3c-2f5b-4690-b6f8-673b9fff98e7.jpg?alt=media&token=d29629d5-4034-4ca6-9931-e04cf58783e0,1
terrah02,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/fdfea406-89d2-473c-b323-b193d17bc88d.jpg?alt=media&token=26a64035-90d3-43a0-a154-af0b45155855,1
terrah03,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/0a2a1826-2ee8-4eb4-9901-abceaf20f5e9.jpg?alt=media&token=0b796e0a-ac10-4afa-ad22-72d5ed1fa257,1
terrah04,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/9a153622-83ef-499c-adc1-448dd4f26f0a.jpg?alt=media&token=7e1e85ad-1c9f-4244-876b-78a3ace857e4,1
terrah06,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/eeaedc06-8c1e-4945-943d-3ae5291657a6.jpg?alt=media&token=01556f81-8514-49f0-9503-5669b5b594e7,1
terrah07,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/1cd348e1-2346-43fd-b41a-14fd4dcd9427.jpg?alt=media&token=8da6b9b1-a2e7-4366-a1eb-edcae4244148,1
terrah08,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/3e66a319-bae5-4884-af17-a4c01c51789d.jpg?alt=media&token=7c82bf2a-49a9-40dc-a211-3d39379ea578,1
terrah09,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/42bd73a0-9be9-4295-814f-920378ad134a.jpg?alt=media&token=979d03fd-3948-44de-a4d4-f3ab86dc1a3e,1
terrah10,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/d0b2058b-482f-45e9-a01c-a24742cd3fec.jpg?alt=media&token=16e148a8-cc70-4d9f-920f-51d3096c8be2,1
terrah11,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/5b50d714-11ca-4086-b9ce-14598923960e.jpg?alt=media&token=30dbb14e-fac2-4458-9511-126f2491a84d,1
terrah12,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/3d47194a-505e-4146-bd92-9252a8c65fad.jpg?alt=media&token=a147def5-dc03-416f-a658-9566b4189b8b,1
terrah13,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/145f48cf-cca0-408f-85d4-d1cf8f5b9684.jpg?alt=media&token=e7721b69-ece2-4d29-a841-c2db1839e3d9,1
terrah14,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/2e1ebf3d-a8e6-4759-b728-209d2c80abbf.jpg?alt=media&token=f81de3ed-87d6-45ba-9c05-b5309853956f,1
terrah16,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/cee199af-9673-4660-901d-f0d23ef65ee2.jpg?alt=media&token=5cf4811a-5193-4940-8980-b8388c0baa78,1
terrah17,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/583ae7f1-ae77-421e-809e-cc9a08e685f7.jpg?alt=media&token=36a9e986-7060-49b0-ab09-696b8f8b842d,1
terrah18,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/f1bde485-9c0c-4fd0-baef-6b79875eaa0f.jpg?alt=media&token=68cef544-20da-425f-b48b-a0fe508b8ee7,1
terrah19,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/c33e3105-39d5-4ac3-8521-d6105ff1845d.jpg?alt=media&token=d72e8386-49fa-434a-a475-bbae6d5f8c1d,1
terrah20,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/d09f2332-9c01-460f-b2dd-32399a236add.jpg?alt=media&token=0d009be2-d9d7-4802-9ded-12fe255c65ba,1
terrah21,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/e8706426-ab8b-4a4d-bd25-2d0fc2229249.jpg?alt=media&token=40740277-5221-4a47-bdf2-68ca60bbbc47,1
terrah22,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/d627a815-1e3a-4340-b0a9-ef7b1eb8672b.jpg?alt=media&token=ce436537-ffdc-40bd-a73f-25ed8477f18c,1
