label,image,item-count
aqua04,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/69a9073c-adf5-44c9-97cb-7db5a267a0d9.jpg?alt=media&token=563e7b77-aeaa-4870-8b49-b309c72dd4c5,1
khind26,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/5dbaf99a-be6a-43e6-afd6-c2a6566f3732.jpg?alt=media&token=bf48ee9a-db2b-4736-a2a0-bc1b2ce29d47,1
mimix06,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/c46d3aea-621d-4210-874f-ec5215c1256d.jpg?alt=media&token=b1aa19cb-a725-4376-945e-a788561fd36d,1
mutant106,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/3145bfe2-3363-41bb-9d91-66c60f8a3176.jpg?alt=media&token=6122194a-794d-4b49-8c26-248e01422610,1
vulca00,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/937630eb-36b4-43f4-b645-06d4c29571ce.jpg?alt=media&token=ffc5d963-0995-4c27-b424-0ca0b3f4d74a,0
vulca01,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/dc21709a-bf79-40e2-b4ca-361a6c25b704.jpg?alt=media&token=c26c6a4d-c502-4c90-8a83-79fb20c8880f,1
vulca03,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/2a4d716e-829b-4ade-a402-04b8b866866b.jpg?alt=media&token=846abb4c-bffc-490a-bb52-44115e94091f,1
vulca04,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/a7b51559-c336-4e8d-bb52-ae3af7e6cd11.jpg?alt=media&token=10a7df92-24de-40a3-8fff-773c903594cc,1
vulca05,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/196007bb-f63d-4b01-a9ca-8e0b702ad5d7.jpg?alt=media&token=79faaec8-b4a4-40b1-9a0b-e649fa0622ae,1
vulca06,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/0f996cba-a813-4ce1-a558-b650bc7ce457.jpg?alt=media&token=164193fc-43d0-475b-922d-370d949b74f6,1
vulca07,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/376df9b2-8ad3-4520-9b22-d9cca0180a16.jpg?alt=media&token=b3e46adc-5c12-4abd-87b4-d48bb74b7239,1
vulca08,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/2982bca2-2e10-46ea-9fee-43085e761f41.jpg?alt=media&token=b95fa7ec-4cde-4f1b-aca6-d98065a0a5b1,1
vulca09,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/0249200a-5916-4a82-8c15-a6698c451a56.jpg?alt=media&token=26499530-4cc4-4976-9231-bc2ada3d7283,1
vulca10,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/a812efa2-bf7f-4899-a434-387c8a89fd42.jpg?alt=media&token=17e4df02-afe6-42ae-a680-b715d16d9d1e,1
vulca11,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/fc8a10e0-c0ed-4be8-82e3-bd409179f221.jpg?alt=media&token=305907bc-80df-466d-aad0-91f4ed1f5696,1
vulca12,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/c20d8838-240b-4cc7-a4a1-74c89130a0bd.jpg?alt=media&token=347ac021-43e2-459f-857e-7c2c5211a162,1
vulca13,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/b2ca3c97-25cf-480f-b69b-c1f80511d82d.jpg?alt=media&token=30a3edfc-ed3f-4b56-9cf7-020d5f7704df,1
vulca14,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/dcf6e5a1-62ff-4616-a230-b6115fa44974.jpg?alt=media&token=50d42fec-a671-4317-af48-1bb56e56123f,1
vulca15,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/c8f29fbf-e961-4afa-9128-4250451d914b.jpg?alt=media&token=b4dd23eb-2ac2-47b6-bc81-d0a15f8420a9,1
vulca16,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/74a016ec-0829-415e-aaa3-fed6bd16c7d9.jpg?alt=media&token=ffc48250-1e3b-42b1-b19d-504e657fa00a,1
vulca18,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/1b2d1e16-336c-4806-a12f-b30c29a3bc19.jpg?alt=media&token=551e06a1-27e1-405d-b361-d8fa83e37f19,1
vulca19,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/53863249-aa6b-44a6-a812-ac0078e93738.jpg?alt=media&token=ebdb6499-172f-4cdc-8cfc-00ee5aaf76cc,1
vulca20,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/fa73cd3f-4a4b-4b68-ae90-480604ca2ef5.jpg?alt=media&token=c9020969-d5da-4b53-a3fa-4141fa17fdbd,1
vulca21,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/d920248e-149c-4ec1-8ffb-384e9971fe36.jpg?alt=media&token=9225ed2a-ba41-4d64-a422-aa34c88f9cdf,1
vulca23,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/96fb534c-f610-47aa-a6b9-a4f2a5fb66b6.jpg?alt=media&token=e7bbfcbd-fb92-43fd-98ca-c0d845cae1ff,1
vulca24,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/1e2d0a45-3ee1-44b8-935f-fed242e1c888.jpg?alt=media&token=a8ea8880-6673-4bf3-b8db-03641da68547,1
vulca26,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/41a123b1-168b-4c37-b436-e5a8fbdde618.jpg?alt=media&token=2c61fc75-0035-4f8a-8605-f34b49e98acd,1
vulca27,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/836afd6d-8457-4930-a903-ce5c75de2eec.jpg?alt=media&token=8bb4e3c7-d509-4944-b3ae-89afe439d2de,1
vulca28,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/52d12363-e801-48d2-9ad2-99ee1471b13b.jpg?alt=media&token=1c5dbf69-e3c8-4dea-82eb-26c29c7d7f89,1
vulca29,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/8adfc906-4ae0-4e2a-84b9-b4f36c66e914.jpg?alt=media&token=996fec8f-c615-440e-9037-4ecd97eb06dc,1
vulca30,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/f53baa9e-7b1c-43bd-b813-d551415a6313.jpg?alt=media&token=49d9f3ab-f04e-46f4-ae12-9c80b8eae870,1
