label,image
token_1,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/crew/token_1.png
token_2,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/crew/token_2.png
token_3,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/crew/token_3.png
token_4,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/crew/token_4.png
token_5,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/crew/token_5.png
token_a,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/crew/token_a.png
token_b,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/crew/token_b.png
token_c,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/crew/token_c.png
token_d,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/crew/token_d.png
token_e,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/crew/token_e.png
