label,image
1_blue,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/crew/task_1_blue.png
1_red,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/crew/task_1_red.png
1_green,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/crew/task_1_green.png
1_yellow,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/crew/task_1_yellow.png
2_blue,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/crew/task_2_blue.png
2_red,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/crew/task_2_red.png
2_green,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/crew/task_2_green.png
2_yellow,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/crew/task_2_yellow.png
3_blue,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/crew/task_3_blue.png
3_red,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/crew/task_3_red.png
3_green,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/crew/task_3_green.png
3_yellow,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/crew/task_3_yellow.png
4_blue,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/crew/task_4_blue.png
4_red,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/crew/task_4_red.png
4_green,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/crew/task_4_green.png
4_yellow,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/crew/task_4_yellow.png
5_blue,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/crew/task_5_blue.png
5_red,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/crew/task_5_red.png
5_green,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/crew/task_5_green.png
5_yellow,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/crew/task_5_yellow.png
6_blue,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/crew/task_6_blue.png
6_red,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/crew/task_6_red.png
6_green,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/crew/task_6_green.png
6_yellow,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/crew/task_6_yellow.png
7_blue,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/crew/task_7_blue.png
7_red,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/crew/task_7_red.png
7_green,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/crew/task_7_green.png
7_yellow,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/crew/task_7_yellow.png
8_blue,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/crew/task_8_blue.png
8_red,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/crew/task_8_red.png
8_green,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/crew/task_8_green.png
8_yellow,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/crew/task_8_yellow.png
9_blue,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/crew/task_9_blue.png
9_red,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/crew/task_9_red.png
9_green,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/crew/task_9_green.png
9_yellow,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/crew/task_9_yellow.png
