label,image
token_1,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/crew/token_token_1.png
token_2,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/crew/token_token_2.png
token_3,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/crew/token_token_3.png
token_4,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/crew/token_token_4.png
token_5,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/crew/token_token_5.png
token_a,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/crew/token_token_a.png
token_b,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/crew/token_token_b.png
token_c,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/crew/token_token_c.png
token_d,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/crew/token_token_d.png
token_e,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/crew/token_token_e.png
