label,image
weapon_0,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/fight/weapon_0.png
weapon_1,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/fight/weapon_1.png
weapon_2,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/fight/weapon_2.png
weapon_3,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/fight/weapon_3.png
weapon_4,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/fight/weapon_4.png
weapon_5,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/fight/weapon_5.png
weapon_6,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/fight/weapon_6.png
weapon_7,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/fight/weapon_7.png
weapon_8,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/fight/weapon_8.png
weapon_9,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/fight/weapon_9.png
