label,image
monster_1,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/fight/monster_1.png
monster_2,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/fight/monster_2.png
monster_3,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/fight/monster_3.png
monster_4,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/fight/monster_4.png
monster_5,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/fight/monster_5.png
monster_6,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/fight/monster_6.png
monster_7,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/fight/monster_7.png
monster_8,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/fight/monster_8.png
monster_9,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/fight/monster_9.png
monster_10,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/fight/monster_10.png
monster_11,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/fight/monster_11.png
monster_12,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/fight/monster_12.png
monster_13,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/fight/monster_13.png
monster_14,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/fight/monster_14.png
monster_15,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/fight/monster_15.png
