label,image
fuji_2,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/fuji/fuji_2.svg
fuji_3,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/fuji/fuji_3.svg
fuji_4,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/fuji/fuji_4.svg
fuji_5,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/fuji/fuji_5.svg
fuji_6,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/fuji/fuji_6.svg
fuji_7,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/fuji/fuji_7.svg
fuji_8,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/fuji/fuji_8.svg
fuji_9,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/fuji/fuji_9.svg
fuji_10,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/fuji/fuji_10.svg
fuji_11,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/fuji/fuji_11.svg
fuji_12,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/fuji/fuji_12.svg
fuji_13,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/fuji/fuji_13.svg
fuji_14,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/fuji/fuji_14.svg
fuji_15,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/fuji/fuji_15.svg
fuji_16,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/fuji/fuji_16.svg
fuji_17,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/fuji/fuji_17.svg
fuji_18,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/fuji/fuji_18.svg
fuji_19,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/fuji/fuji_19.svg
fuji_20,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/fuji/fuji_20.svg
