label,image
0_1,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/generic_svg/card_0_1.svg
0_2,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/generic_svg/card_0_2.svg
0_3,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/generic_svg/card_0_3.svg
0_4,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/generic_svg/card_0_4.svg
0_5,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/generic_svg/card_0_5.svg
0_6,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/generic_svg/card_0_6.svg
0_7,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/generic_svg/card_0_7.svg
0_8,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/generic_svg/card_0_8.svg
1_1,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/generic_svg/card_1_1.svg
1_2,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/generic_svg/card_1_2.svg
1_3,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/generic_svg/card_1_3.svg
1_4,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/generic_svg/card_1_4.svg
1_5,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/generic_svg/card_1_5.svg
1_6,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/generic_svg/card_1_6.svg
1_7,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/generic_svg/card_1_7.svg
1_8,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/generic_svg/card_1_8.svg
2_1,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/generic_svg/card_2_1.svg
2_2,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/generic_svg/card_2_2.svg
2_3,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/generic_svg/card_2_3.svg
2_4,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/generic_svg/card_2_4.svg
2_5,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/generic_svg/card_2_5.svg
2_6,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/generic_svg/card_2_6.svg
2_7,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/generic_svg/card_2_7.svg
2_8,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/generic_svg/card_2_8.svg
3_1,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/generic_svg/card_3_1.svg
3_2,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/generic_svg/card_3_2.svg
3_3,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/generic_svg/card_3_3.svg
3_4,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/generic_svg/card_3_4.svg
3_5,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/generic_svg/card_3_5.svg
3_6,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/generic_svg/card_3_6.svg
3_7,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/generic_svg/card_3_7.svg
3_8,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/generic_svg/card_3_8.svg
4_1,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/generic_svg/card_4_1.svg
4_2,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/generic_svg/card_4_2.svg
4_3,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/generic_svg/card_4_3.svg
4_4,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/generic_svg/card_4_4.svg
4_5,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/generic_svg/card_4_5.svg
4_6,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/generic_svg/card_4_6.svg
4_7,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/generic_svg/card_4_7.svg
4_8,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/generic_svg/card_4_8.svg
5_1,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/generic_svg/card_5_1.svg
5_2,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/generic_svg/card_5_2.svg
5_3,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/generic_svg/card_5_3.svg
5_4,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/generic_svg/card_5_4.svg
5_5,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/generic_svg/card_5_5.svg
5_6,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/generic_svg/card_5_6.svg
5_7,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/generic_svg/card_5_7.svg
5_8,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/generic_svg/card_5_8.svg
6_1,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/generic_svg/card_6_1.svg
6_2,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/generic_svg/card_6_2.svg
6_3,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/generic_svg/card_6_3.svg
6_4,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/generic_svg/card_6_4.svg
6_5,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/generic_svg/card_6_5.svg
6_6,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/generic_svg/card_6_6.svg
6_7,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/generic_svg/card_6_7.svg
