label,image
Black_01,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/salvage/Version1Deck/Copy%20of%20Black_01.jpg
Black_02,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/salvage/Version1Deck/Copy%20of%20Black_02.jpg
Black_03,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/salvage/Version1Deck/Copy%20of%20Black_03.jpg
Black_04,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/salvage/Version1Deck/Copy%20of%20Black_04.jpg
Black_05,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/salvage/Version1Deck/Copy%20of%20Black_05.jpg
Black_06,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/salvage/Version1Deck/Copy%20of%20Black_06.jpg
Black_07,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/salvage/Version1Deck/Copy%20of%20Black_07.jpg
Black_08,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/salvage/Version1Deck/Copy%20of%20Black_08.jpg
Black_09,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/salvage/Version1Deck/Copy%20of%20Black_09.jpg
Blue_01,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/salvage/Version1Deck/Copy%20of%20Blue_01.jpg
Blue_02,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/salvage/Version1Deck/Copy%20of%20Blue_02.jpg
Blue_03,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/salvage/Version1Deck/Copy%20of%20Blue_03.jpg
Blue_04,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/salvage/Version1Deck/Copy%20of%20Blue_04.jpg
Blue_05,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/salvage/Version1Deck/Copy%20of%20Blue_05.jpg
Blue_06,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/salvage/Version1Deck/Copy%20of%20Blue_06.jpg
Blue_07,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/salvage/Version1Deck/Copy%20of%20Blue_07.jpg
Blue_08,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/salvage/Version1Deck/Copy%20of%20Blue_08.jpg
Blue_09,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/salvage/Version1Deck/Copy%20of%20Blue_09.jpg
Green_01,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/salvage/Version1Deck/Copy%20of%20Green_01.jpg
Green_02,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/salvage/Version1Deck/Copy%20of%20Green_02.jpg
Green_03,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/salvage/Version1Deck/Copy%20of%20Green_03.jpg
Green_04,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/salvage/Version1Deck/Copy%20of%20Green_04.jpg
Green_05,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/salvage/Version1Deck/Copy%20of%20Green_05.jpg
Green_06,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/salvage/Version1Deck/Copy%20of%20Green_06.jpg
Green_07,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/salvage/Version1Deck/Copy%20of%20Green_07.jpg
Green_08,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/salvage/Version1Deck/Copy%20of%20Green_08.jpg
Green_09,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/salvage/Version1Deck/Copy%20of%20Green_09.jpg
Red_01,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/salvage/Version1Deck/Copy%20of%20Red_01.jpg
Red_02,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/salvage/Version1Deck/Copy%20of%20Red_02.jpg
Red_03,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/salvage/Version1Deck/Copy%20of%20Red_03.jpg
Red_04,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/salvage/Version1Deck/Copy%20of%20Red_04.jpg
Red_05,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/salvage/Version1Deck/Copy%20of%20Red_05.jpg
Red_06,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/salvage/Version1Deck/Copy%20of%20Red_06.jpg
Red_07,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/salvage/Version1Deck/Copy%20of%20Red_07.jpg
Red_08,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/salvage/Version1Deck/Copy%20of%20Red_08.jpg
Red_09,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/salvage/Version1Deck/Copy%20of%20Red_09.jpg
