label,image
Cloth1,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/senators/Resources/Cloth1.jpg
Cloth2,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/senators/Resources/Cloth2.jpg
Cloth3,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/senators/Resources/Cloth3.jpg
Grain1,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/senators/Resources/Grain1.jpg
Grain2,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/senators/Resources/Grain2.jpg
Grain3,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/senators/Resources/Grain3.jpg
Iron1,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/senators/Resources/Iron1.jpg
Iron2,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/senators/Resources/Iron2.jpg
Iron3,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/senators/Resources/Iron3.jpg
Meat1,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/senators/Resources/Meat1.jpg
Meat2,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/senators/Resources/Meat2.jpg
Meat3,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/senators/Resources/Meat3.jpg
Olives1,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/senators/Resources/Olives1.jpg
Olives2,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/senators/Resources/Olives2.jpg
Olives3,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/senators/Resources/Olives3.jpg
Timber1,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/senators/Resources/Timber1.jpg
Timber2,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/senators/Resources/Timber2.jpg
Timber3,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/senators/Resources/Timber3.jpg
