label,image
Cloth4,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/senators/Resources/Cloth4.jpg
Cloth5,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/senators/Resources/Cloth5.jpg
Cloth6,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/senators/Resources/Cloth6.jpg
Grain4,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/senators/Resources/Grain4.jpg
Grain5,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/senators/Resources/Grain5.jpg
Grain6,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/senators/Resources/Grain6.jpg
Iron4,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/senators/Resources/Iron4.jpg
Iron5,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/senators/Resources/Iron5.jpg
Iron6,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/senators/Resources/Iron6.jpg
Meat4,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/senators/Resources/Meat4.jpg
Meat5,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/senators/Resources/Meat5.jpg
Meat6,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/senators/Resources/Meat6.jpg
Olives4,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/senators/Resources/Olives4.jpg
Olives5,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/senators/Resources/Olives5.jpg
Olives6,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/senators/Resources/Olives6.jpg
Timber4,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/senators/Resources/Timber4.jpg
Timber5,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/senators/Resources/Timber5.jpg
Timber6,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/senators/Resources/Timber6.jpg
