label,image
Cloth7,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/senators/Resources/Cloth7.jpg
Cloth8,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/senators/Resources/Cloth8.jpg
Cloth9,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/senators/Resources/Cloth9.jpg
Grain7,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/senators/Resources/Grain7.jpg
Grain8,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/senators/Resources/Grain8.jpg
Grain9,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/senators/Resources/Grain9.jpg
Iron7,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/senators/Resources/Iron7.jpg
Iron8,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/senators/Resources/Iron8.jpg
Iron9,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/senators/Resources/Iron9.jpg
Meat7,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/senators/Resources/Meat7.jpg
Meat8,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/senators/Resources/Meat8.jpg
Meat9,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/senators/Resources/Meat9.jpg
Olives7,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/senators/Resources/Olives7.jpg
Olives8,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/senators/Resources/Olives8.jpg
Olives9,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/senators/Resources/Olives9.jpg
Timber7,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/senators/Resources/Timber7.jpg
Timber8,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/senators/Resources/Timber8.jpg
Timber9,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/senators/Resources/Timber9.jpg
