label,image
0_1,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/texas/card_0_1.png
11_2,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/texas/card_11_2.png
21_3,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/texas/card_21_3.png
31_4,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/texas/card_31_4.png
41_5,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/texas/card_41_5.png
51_6,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/texas/card_51_6.png
61_7,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/texas/card_61_7.png
71_8,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/texas/card_71_8.png
1_1,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/texas/card_1_1.png
12_2,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/texas/card_12_2.png
22_3,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/texas/card_22_3.png
32_4,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/texas/card_32_4.png
42_5,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/texas/card_42_5.png
52_6,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/texas/card_52_6.png
62_7,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/texas/card_62_7.png
72_8,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/texas/card_72_8.png
2_1,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/texas/card_2_1.png
13_2,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/texas/card_13_2.png
23_3,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/texas/card_23_3.png
33_4,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/texas/card_33_4.png
43_5,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/texas/card_43_5.png
53_6,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/texas/card_53_6.png
63_7,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/texas/card_63_7.png
73_8,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/texas/card_73_8.png
3_1,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/texas/card_3_1.png
14_2,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/texas/card_14_2.png
24_3,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/texas/card_24_3.png
34_4,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/texas/card_34_4.png
44_5,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/texas/card_44_5.png
54_6,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/texas/card_54_6.png
64_7,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/texas/card_64_7.png
74_8,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/texas/card_74_8.png
4_1,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/texas/card_4_1.png
15_2,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/texas/card_15_2.png
25_3,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/texas/card_25_3.png
35_4,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/texas/card_35_4.png
45_5,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/texas/card_45_5.png
55_6,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/texas/card_55_6.png
65_7,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/texas/card_65_7.png
5_1,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/texas/card_5_1.png
16_2,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/texas/card_16_2.png
26_3,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/texas/card_26_3.png
36_4,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/texas/card_36_4.png
46_5,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/texas/card_46_5.png
56_6,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/texas/card_56_6.png
6_1,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/texas/card_6_1.png
17_2,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/texas/card_17_2.png
27_3,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/texas/card_27_3.png
37_4,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/texas/card_37_4.png
47_5,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/texas/card_47_5.png
7_1,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/texas/card_7_1.png
18_2,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/texas/card_18_2.png
28_3,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/texas/card_28_3.png
38_4,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/texas/card_38_4.png
8_1,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/texas/card_8_1.png
19_2,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/texas/card_19_2.png
29_3,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/texas/card_29_3.png
9_1,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/texas/card_9_1.png
20_2,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/texas/card_20_2.png
10_1,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/texas/card_10_1.png
