label,image
voodoo_0_a,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/voodoo/voodoo_0_a.svg
voodoo_1_a,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/voodoo/voodoo_1_a.svg
voodoo_2_a,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/voodoo/voodoo_2_a.svg
voodoo_3_a,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/voodoo/voodoo_3_a.svg
voodoo_4_a,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/voodoo/voodoo_4_a.svg
voodoo_5_a,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/voodoo/voodoo_5_a.svg
voodoo_6_a,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/voodoo/voodoo_6_a.svg
voodoo_7_a,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/voodoo/voodoo_7_a.svg
voodoo_8_a,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/voodoo/voodoo_8_a.svg
voodoo_9_a,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/voodoo/voodoo_9_a.svg
voodoo_10_a,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/voodoo/voodoo_10_a.svg
voodoo_11_a,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/voodoo/voodoo_11_a.svg
voodoo_12_a,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/voodoo/voodoo_12_a.svg
voodoo_13_a,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/voodoo/voodoo_13_a.svg
voodoo_14_a,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/voodoo/voodoo_14_a.svg
voodoo_15_a,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/voodoo/voodoo_15_a.svg
voodoo_0_b,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/voodoo/voodoo_0_b.svg
voodoo_1_b,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/voodoo/voodoo_1_b.svg
voodoo_2_b,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/voodoo/voodoo_2_b.svg
voodoo_3_b,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/voodoo/voodoo_3_b.svg
voodoo_4_b,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/voodoo/voodoo_4_b.svg
voodoo_5_b,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/voodoo/voodoo_5_b.svg
voodoo_6_b,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/voodoo/voodoo_6_b.svg
voodoo_7_b,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/voodoo/voodoo_7_b.svg
voodoo_8_b,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/voodoo/voodoo_8_b.svg
voodoo_9_b,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/voodoo/voodoo_9_b.svg
voodoo_10_b,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/voodoo/voodoo_10_b.svg
voodoo_11_b,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/voodoo/voodoo_11_b.svg
voodoo_12_b,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/voodoo/voodoo_12_b.svg
voodoo_13_b,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/voodoo/voodoo_13_b.svg
voodoo_14_b,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/voodoo/voodoo_14_b.svg
voodoo_15_b,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/voodoo/voodoo_15_b.svg
voodoo_0_c,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/voodoo/voodoo_0_c.svg
voodoo_1_c,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/voodoo/voodoo_1_c.svg
voodoo_2_c,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/voodoo/voodoo_2_c.svg
voodoo_3_c,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/voodoo/voodoo_3_c.svg
voodoo_4_c,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/voodoo/voodoo_4_c.svg
voodoo_5_c,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/voodoo/voodoo_5_c.svg
voodoo_6_c,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/voodoo/voodoo_6_c.svg
voodoo_7_c,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/voodoo/voodoo_7_c.svg
voodoo_8_c,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/voodoo/voodoo_8_c.svg
voodoo_9_c,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/voodoo/voodoo_9_c.svg
voodoo_10_c,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/voodoo/voodoo_10_c.svg
voodoo_11_c,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/voodoo/voodoo_11_c.svg
voodoo_12_c,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/voodoo/voodoo_12_c.svg
