label,image
yokai_1_1,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/yokai/yokai_1_1.png
yokai_2_1,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/yokai/yokai_2_1.png
yokai_3_1,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/yokai/yokai_3_1.png
yokai_4_1,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/yokai/yokai_4_1.png
yokai_5_1,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/yokai/yokai_5_1.png
yokai_6_1,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/yokai/yokai_6_1.png
yokai_7_1,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/yokai/yokai_7_1.png
yokai_2_2,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/yokai/yokai_2_2.png
yokai_3_2,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/yokai/yokai_3_2.png
yokai_4_2,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/yokai/yokai_4_2.png
yokai_5_2,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/yokai/yokai_5_2.png
yokai_6_2,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/yokai/yokai_6_2.png
yokai_7_2,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/yokai/yokai_7_2.png
yokai_8_2,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/yokai/yokai_8_2.png
yokai_3_3,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/yokai/yokai_3_3.png
yokai_4_3,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/yokai/yokai_4_3.png
yokai_5_3,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/yokai/yokai_5_3.png
yokai_6_3,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/yokai/yokai_6_3.png
yokai_7_3,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/yokai/yokai_7_3.png
yokai_8_3,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/yokai/yokai_8_3.png
yokai_9_3,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/yokai/yokai_9_3.png
yokai_4_4,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/yokai/yokai_4_4.png
yokai_5_4,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/yokai/yokai_5_4.png
yokai_6_4,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/yokai/yokai_6_4.png
yokai_7_4,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/yokai/yokai_7_4.png
yokai_8_4,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/yokai/yokai_8_4.png
yokai_9_4,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/yokai/yokai_9_4.png
yokai_10_4,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/yokai/yokai_10_4.png
yokai_5_5,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/yokai/yokai_5_5.png
yokai_6_5,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/yokai/yokai_6_5.png
yokai_7_5,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/yokai/yokai_7_5.png
yokai_8_5,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/yokai/yokai_8_5.png
yokai_9_5,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/yokai/yokai_9_5.png
yokai_10_5,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/yokai/yokai_10_5.png
yokai_11_5,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/yokai/yokai_11_5.png
yokai_6_6,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/yokai/yokai_6_6.png
yokai_7_6,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/yokai/yokai_7_6.png
yokai_8_6,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/yokai/yokai_8_6.png
yokai_9_6,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/yokai/yokai_9_6.png
yokai_10_6,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/yokai/yokai_10_6.png
yokai_11_6,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/yokai/yokai_11_6.png
yokai_12_6,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/yokai/yokai_12_6.png
yokai_7_7,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/yokai/yokai_7_7.png
yokai_8_7,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/yokai/yokai_8_7.png
yokai_9_7,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/yokai/yokai_9_7.png
yokai_10_7,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/yokai/yokai_10_7.png
yokai_11_7,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/yokai/yokai_11_7.png
yokai_12_7,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/yokai/yokai_12_7.png
yokai_13_7,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/yokai/yokai_13_7.png
