label,image
zimbabwe_1,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/zimbabwe/zimbabwe_1.svg
zimbabwe_2,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/zimbabwe/zimbabwe_2.svg
zimbabwe_3,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/zimbabwe/zimbabwe_3.svg
zimbabwe_4,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/zimbabwe/zimbabwe_4.svg
zimbabwe_5,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/zimbabwe/zimbabwe_5.svg
zimbabwe_6,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/zimbabwe/zimbabwe_6.svg
zimbabwe_7,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/zimbabwe/zimbabwe_7.svg
zimbabwe_8,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/zimbabwe/zimbabwe_8.svg
zimbabwe_9,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/zimbabwe/zimbabwe_9.svg
zimbabwe_10,https://raw.githubusercontent.com/mcgriffiths/cardgames/master/zimbabwe/zimbabwe_10.svg
